"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\BuildChainBuilder.java","3","1","A value of 36 may denote a high amount of coupling within the class (threshold: 20)","Design","CouplingBetweenObjects"
"2","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\BuildChainBuilder.java","3","33","Possible God Class (WMC=99, ATFD=58, TCC=3.202%)","Design","GodClass"
"3","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\BuildChainBuilder.java","3","33","The class 'BuildChainBuilder' has a total cyclomatic complexity of 99 (highest 14).","Design","CyclomaticComplexity"
"4","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\BuildChainBuilder.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"5","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\BuildChainBuilder.java","3","208","The method 'extractProducers()' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"6","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\BuildChainBuilder.java","3","415","The method 'buildOne(BuildStepBuilder, Set<BuildStepBuilder>, Map<BuildStepBuilder, StepInfo>, Map<BuildStepBuilder, Set<BuildStepBuilder>>, Map<BuildStepBuilder, Set<Produce>>, Set<StepInfo>, Set<StepInfo>, int[], Map<ItemId, int[]>)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\BuildContext.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\BuildMetrics.java","3","1","A value of 21 may denote a high amount of coupling within the class (threshold: 20)","Design","CouplingBetweenObjects"
"2","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\BuildMetrics.java","3","112","The method 'dumpTo(Path)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\BuildStepBuilder.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\Execution.java","3","100","The method 'run()' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"1","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\Json.java","3","168","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\Json.java","3","282","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\JsonReader.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\JsonReader.java","3","65","The method 'readValue()' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"3","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\main\java\io\quarkus\builder\JsonReader.java","3","193","The method 'readString()' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"1","io.quarkus.builder","..\dataset\projects\quarkus\core\builder\src\test\java\io\quarkus\builder\BasicTests.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\BooleanSupplierFactoryBuildItem.java","3","34","The method 'computeValue(Class<?>)' has a cyclomatic complexity of 35.","Design","CyclomaticComplexity"
"1","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\CodeGenerator.java","3","1","A value of 30 may denote a high amount of coupling within the class (threshold: 20)","Design","CouplingBetweenObjects"
"2","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\CodeGenerator.java","3","47","Possible God Class (WMC=48, ATFD=43, TCC=1.818%)","Design","GodClass"
"3","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\CodeGenerator.java","3","223","The method 'dumpCurrentConfigValues(ApplicationModel, String, Properties, QuarkusClassLoader, Properties, Path)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"4","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\CodeGenerator.java","3","295","The method 'readConfig(ApplicationModel, LaunchMode, Properties, QuarkusClassLoader, Function<BuildTimeConfigurationReader, T>)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\ExtensionLoader.java","3","1","A value of 56 may denote a high amount of coupling within the class (threshold: 20)","Design","CouplingBetweenObjects"
"2","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\ExtensionLoader.java","3","113","Possible God Class (WMC=164, ATFD=122, TCC=0.000%)","Design","GodClass"
"3","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\ExtensionLoader.java","3","113","The class 'ExtensionLoader' has a total cyclomatic complexity of 164 (highest 135).","Design","CyclomaticComplexity"
"4","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\ExtensionLoader.java","3","258","The method 'loadStepsFromClass(Class<?>, Map<Class<?>, Object>, BooleanSupplierFactoryBuildItem)' has a cyclomatic complexity of 135.","Design","CyclomaticComplexity"
"5","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\ExtensionLoader.java","3","753","The method 'execute(BuildContext)' has a cyclomatic complexity of 22.","Design","CyclomaticComplexity"
"1","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\QuarkusAugmentor.java","3","1","A value of 25 may denote a high amount of coupling within the class (threshold: 20)","Design","CouplingBetweenObjects"
"2","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\QuarkusAugmentor.java","3","98","The method 'run()' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"3","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\QuarkusAugmentor.java","3","222","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","io.quarkus.deployment","..\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\QuarkusAugmentor.java","3","222","Too many fields","Design","TooManyFields"
