file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,innerclass,1,1,0,1,5,2,0,4,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,4,0,0,4,0,0,4,0,1,25,0,1,0,1,0,0,1,5,0,5,3,0,0,0,52,26,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\function\FailableRunnableTest.java,org.apache.commons.lang3.function.FailableRunnableTest,class,3,3,0,3,2,2,0,6,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,5,0,5,1,0,0,2,25,0,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,class,5,6,1,5,7,1,0,11,0,0.53333336,0.0,0.0,5,0,4,0,1,0,5,0,1,0,3,1,1,2,0,0,3,0,6,28,6,0,1,0,1,3,3,4,1,4,1,0,0,0,122,1025,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,innerclass,3,3,0,3,6,3,0,10,0,0.0,0.0,0.0,3,0,1,0,0,2,3,0,0,0,3,0,0,3,0,0,3,0,2,28,1,0,2,0,0,7,2,7,3,6,1,0,0,0,49,26,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\function\FailableIntBinaryOperatorTest.java,org.apache.commons.lang3.function.FailableIntBinaryOperatorTest,class,3,3,0,3,2,2,0,3,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,5,4,1,8,1,0,0,3,25,0,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\main\java\org\apache\commons\lang3\function\FailableBiConsumer.java,org.apache.commons.lang3.function.FailableBiConsumer,interface,4,11,7,4,3,1,0,3,3,0.6666667,0.0,0.0,3,1,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,1,17,2,0,0,0,0,2,0,1,0,5,1,0,0,2,52,1,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\reflect\ConstructorUtilsTest.java,org.apache.commons.lang3.reflect.ConstructorUtilsTest$SubClass,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\main\java\org\apache\commons\lang3\time\FastDatePrinter.java,org.apache.commons.lang3.time.FastDatePrinter$Rule,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\ClassUtilsGetShortClassNameTest.java,org.apache.commons.lang3.ClassUtilsGetShortClassNameTest,class,5,6,1,5,7,1,0,26,15,0.8333333,0.0,0.0,6,2,4,2,0,0,4,0,0,0,1,1,0,1,0,0,1,0,19,53,2,0,1,1,0,30,1,13,2,13,1,1,0,0,176,1,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\ClassUtilsTest.java,org.apache.commons.lang3.ClassUtilsTest$12Named,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0
