file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,"SemaphoreThread/4[org.apache.commons.lang3.concurrent.TimedSemaphore,java.util.concurrent.CountDownLatch,int,int]",true,63,1,4,4,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,false
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,run/0,false,76,1,1,0,1,4,4,13,0,1,0,4,0,0,1,0,1,0,0,1,1,0,3,0,0,0,26,1,0,true
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\function\FailableRunnableTest.java,org.apache.commons.lang3.function.FailableRunnableTest,testRun_executesBody/0,false,36,2,0,0,0,1,4,6,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,14,0,0,false
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\function\FailableRunnableTest.java,org.apache.commons.lang3.function.FailableRunnableTest,testRun_throwsException/0,false,44,2,0,0,0,1,2,9,0,3,0,2,0,0,0,0,0,0,1,0,3,0,1,0,0,1,12,0,0,false
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,TypeLiteral/0,true,91,3,4,0,4,1,8,4,0,0,0,8,0,0,0,0,0,0,2,0,2,0,0,0,0,0,13,4,0,true
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,equals/1[java.lang.Object],false,98,2,1,0,1,3,1,10,3,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,8,17,0,false
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,hashCode/0,false,115,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,false
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,getType/0,false,110,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,toString/0,false,120,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,toString/0,false,140,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,13,1,0,true
