App,Tag,FilePath,RelativeFilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\documentation\src\main\asciidoc\quickstart\tutorials\annotations\src\test\java\org\hibernate\tutorial\annotations\HibernateIllustrationTest.java,projects/hibernate-orm/documentation/src/main/asciidoc/quickstart/tutorials/annotations/src/test/java/org/hibernate/tutorial/annotations/HibernateIllustrationTest.java,HibernateIllustrationTest.java,HibernateIllustrationTest,9,3,5,1,0,1,true,true,false,true,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\documentation\src\main\asciidoc\quickstart\tutorials\entitymanager\src\test\java\org\hibernate\tutorial\em\JPAIllustrationTest.java,projects/hibernate-orm/documentation/src/main/asciidoc/quickstart/tutorials/entitymanager/src/test/java/org/hibernate/tutorial/em/JPAIllustrationTest.java,JPAIllustrationTest.java,JPAIllustrationTest,8,4,7,1,0,1,true,true,false,true,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\documentation\src\main\asciidoc\quickstart\tutorials\envers\src\test\java\org\hibernate\tutorial\envers\EnversIllustrationTest.java,projects/hibernate-orm/documentation/src/main/asciidoc/quickstart/tutorials/envers/src/test/java/org/hibernate/tutorial/envers/EnversIllustrationTest.java,EnversIllustrationTest.java,EnversIllustrationTest,9,3,34,1,0,1,true,true,false,true,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-agroal\src\test\java\org\hibernate\test\agroal\AgroalConnectionProviderTest.java,projects/hibernate-orm/hibernate-agroal/src/test/java/org/hibernate/test/agroal/AgroalConnectionProviderTest.java,AgroalConnectionProviderTest.java,AgroalConnectionProviderTest,18,1,15,1,1,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-agroal\src\test\java\org\hibernate\test\agroal\AgroalSkipAutoCommitTest.java,projects/hibernate-orm/hibernate-agroal/src/test/java/org/hibernate/test/agroal/AgroalSkipAutoCommitTest.java,AgroalSkipAutoCommitTest.java,ConnectionProviderProvider,18,7,16,1,1,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-agroal\src\test\java\org\hibernate\test\agroal\AgroalTransactionIsolationConfigTest.java,projects/hibernate-orm/hibernate-agroal/src/test/java/org/hibernate/test/agroal/AgroalTransactionIsolationConfigTest.java,AgroalTransactionIsolationConfigTest.java,AgroalTransactionIsolationConfigTest,8,1,1,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-c3p0\src\test\java\org\hibernate\test\c3p0\C3P0ConnectionProviderTest.java,projects/hibernate-orm/hibernate-c3p0/src/test/java/org/hibernate/test/c3p0/C3P0ConnectionProviderTest.java,C3P0ConnectionProviderTest.java,C3P0ConnectionProviderTest,17,2,10,2,2,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-c3p0\src\test\java\org\hibernate\test\c3p0\C3P0DefaultIsolationLevelTest.java,projects/hibernate-orm/hibernate-c3p0/src/test/java/org/hibernate/test/c3p0/C3P0DefaultIsolationLevelTest.java,C3P0DefaultIsolationLevelTest.java,ConnectionProviderProvider,19,2,16,1,1,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-c3p0\src\test\java\org\hibernate\test\c3p0\C3P0DifferentIsolationLevelTest.java,projects/hibernate-orm/hibernate-c3p0/src/test/java/org/hibernate/test/c3p0/C3P0DifferentIsolationLevelTest.java,C3P0DifferentIsolationLevelTest.java,ConnectionProviderProvider,19,2,16,1,1,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-c3p0\src\test\java\org\hibernate\test\c3p0\C3P0EmptyIsolationLevelTest.java,projects/hibernate-orm/hibernate-c3p0/src/test/java/org/hibernate/test/c3p0/C3P0EmptyIsolationLevelTest.java,C3P0EmptyIsolationLevelTest.java,ConnectionProviderProvider,19,2,16,1,1,0,true,false,false,false,false,false,false,false,false,false
