App,Tag,FilePath,RelativeFilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\quarkus\core\builder\src\test\java\io\quarkus\builder\BasicTests.java,projects/quarkus/core/builder/src/test/java/io/quarkus/builder/BasicTests.java,BasicTests.java,DummyItem2,10,32,138,11,11,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\quarkus\core\builder\src\test\java\io\quarkus\builder\BuildStepPrioritizerTest.java,projects/quarkus/core/builder/src/test/java/io/quarkus/builder/BuildStepPrioritizerTest.java,BuildStepPrioritizerTest.java,FeatureInitStep,6,12,47,2,2,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\quarkus\core\builder\src\test\java\io\quarkus\builder\MultiBuildItemsTest.java,projects/quarkus/core/builder/src/test/java/io/quarkus/builder/MultiBuildItemsTest.java,MultiBuildItemsTest.java,ComparableItem2,8,8,38,2,2,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\TestAnnotationBuildItem.java,projects/quarkus/core/deployment/src/main/java/io/quarkus/deployment/builditem/TestAnnotationBuildItem.java,TestAnnotationBuildItem.java,TestAnnotationBuildItem,1,1,1,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\TestClassBeanBuildItem.java,projects/quarkus/core/deployment/src/main/java/io/quarkus/deployment/builditem/TestClassBeanBuildItem.java,TestClassBeanBuildItem.java,TestClassBeanBuildItem,1,1,1,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\TestClassPredicateBuildItem.java,projects/quarkus/core/deployment/src/main/java/io/quarkus/deployment/builditem/TestClassPredicateBuildItem.java,TestClassPredicateBuildItem.java,TestClassPredicateBuildItem,2,1,1,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\TestProfileBuildItem.java,projects/quarkus/core/deployment/src/main/java/io/quarkus/deployment/builditem/TestProfileBuildItem.java,TestProfileBuildItem.java,TestProfileBuildItem,1,1,1,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\dev\testing\TestClassResult.java,projects/quarkus/core/deployment/src/main/java/io/quarkus/deployment/dev/testing/TestClassResult.java,TestClassResult.java,TestClassResult,4,7,11,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\dev\testing\TestConfig.java,projects/quarkus/core/deployment/src/main/java/io/quarkus/deployment/dev/testing/TestConfig.java,TestConfig.java,RestAssured,12,31,0,0,0,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\quarkus\core\deployment\src\main\java\io\quarkus\deployment\dev\testing\TestConfigCustomizer.java,projects/quarkus/core/deployment/src/main/java/io/quarkus/deployment/dev/testing/TestConfigCustomizer.java,TestConfigCustomizer.java,TestConfigCustomizer,8,4,7,0,0,0,true,true,false,false,false,false,false,false,false,false
