App,Tag,FilePath,RelativeFilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-all\src\test\java\io\github\resilience4j\decorators\DecoratorsTest.java,projects/resilience4j/resilience4j-all/src/test/java/io/github/resilience4j/decorators/DecoratorsTest.java,DecoratorsTest.java,DecoratorsTest,51,45,339,43,43,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-bulkhead\src\jcstress\java\io\github\resilience4j\bulkhead\concurrent\ConcurrentBulkheadTest.java,projects/resilience4j/resilience4j-bulkhead/src/jcstress/java/io/github/resilience4j/bulkhead/concurrent/ConcurrentBulkheadTest.java,ConcurrentBulkheadTest.java,ConcurrentBulkheadTest,9,3,4,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-bulkhead\src\test\java\io\github\resilience4j\bulkhead\BulkheadConfigTest.java,projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/BulkheadConfigTest.java,BulkheadConfigTest.java,BulkheadConfigTest,5,9,33,9,9,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-bulkhead\src\test\java\io\github\resilience4j\bulkhead\BulkheadEventPublisherTest.java,projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/BulkheadEventPublisherTest.java,BulkheadEventPublisherTest.java,BulkheadEventPublisherTest,11,6,28,5,5,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-bulkhead\src\test\java\io\github\resilience4j\bulkhead\BulkheadFutureTest.java,projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/BulkheadFutureTest.java,BulkheadFutureTest.java,BulkheadFutureTest,17,10,89,9,9,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-bulkhead\src\test\java\io\github\resilience4j\bulkhead\BulkheadRegistryTest.java,projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/BulkheadRegistryTest.java,BulkheadRegistryTest.java,NoOpBulkheadEventConsumer,19,31,120,26,26,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-bulkhead\src\test\java\io\github\resilience4j\bulkhead\BulkheadTest.java,projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/BulkheadTest.java,BulkheadTest.java,BulkheadTest,21,30,167,29,29,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-bulkhead\src\test\java\io\github\resilience4j\bulkhead\event\BulkheadEventTest.java,projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/event/BulkheadEventTest.java,BulkheadEventTest.java,BulkheadEventTest,3,2,10,2,2,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-bulkhead\src\test\java\io\github\resilience4j\bulkhead\internal\FixedThreadPoolBulkheadTest.java,projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/internal/FixedThreadPoolBulkheadTest.java,FixedThreadPoolBulkheadTest.java,FixedThreadPoolBulkheadTest,22,11,35,6,6,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-bulkhead\src\test\java\io\github\resilience4j\bulkhead\internal\SemaphoreBulkheadTest.java,projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/internal/SemaphoreBulkheadTest.java,SemaphoreBulkheadTest.java,SemaphoreBulkheadTest,43,23,218,1,0,1,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-bulkhead\src\test\java\io\github\resilience4j\bulkhead\ThreadPoolBulkheadConfigTest.java,projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/ThreadPoolBulkheadConfigTest.java,ThreadPoolBulkheadConfigTest.java,TestCtxPropagator2,11,18,72,12,12,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-bulkhead\src\test\java\io\github\resilience4j\bulkhead\ThreadPoolBulkheadEventPublisherTest.java,projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/ThreadPoolBulkheadEventPublisherTest.java,ThreadPoolBulkheadEventPublisherTest.java,ThreadPoolBulkheadEventPublisherTest,13,5,30,4,4,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-bulkhead\src\test\java\io\github\resilience4j\bulkhead\ThreadPoolBulkheadRegistryTest.java,projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/ThreadPoolBulkheadRegistryTest.java,ThreadPoolBulkheadRegistryTest.java,NoOpThreadPoolBulkheadEventConsumer,18,30,112,25,25,0,true,false,false,false,false,false,false,false,false,false
